subject,setSize,targetCol,distractorCol,mouse.time
111,5,black,black,0.815
111,5,black,black,1.271
111,5,black,black,1.039
112,5,black,black,1.362
112,20,black,black,6.92
112,5,black,black,1.825
112,5,black,black,1.211
112,20,black,black,9.762
112,5,black,black,1.827
112,20,black,black,2.959
114,20,black,black,2.436
114,20,black,black,5.7982
114,20,blue,black,1.0947
114,20,black,black,1.9459
114,5,black,black,1.9123
114,5,black,black,1.2772
114,5,black,black,1.4938
114,20,black,black,4.1298
114,5,black,black,1.7637
114,5,black,black,0.9937
115,5,black,black,1.6565
115,20,black,black,2.2594
115,20,black,black,1.0136
115,20,black,black,1.3337
115,5,black,black,1.2435
115,20,black,black,1.3422
115,20,blue,black,0.5722
115,5,black,black,1.0435
115,5,black,black,1.0779
115,5,black,black,1.0587
116,20,black,black,2.5657
116,5,black,black,0.919
116,5,black,black,0.8239
116,20,blue,black,0.8253
116,5,black,black,0.7298
116,20,black,black,2.7765
116,5,black,black,1.0165
116,20,black,black,0.8255
116,5,black,black,0.8245
116,20,black,black,2.0729
117,20,black,black,1.188
117,20,black,black,3.732
117,20,black,black,1.828
117,20,black,black,4.056
117,20,blue,black,1.051
118,20,black,black,3.055
118,20,black,black,1.348
119,20,black,black,2.6988
119,5,black,black,1.007
119,5,black,black,1.2091
119,20,black,black,2.8439
119,20,black,black,1.2738
119,5,black,black,0.6261
119,5,black,black,1.0245
119,20,black,black,1.3766
119,5,black,black,1.3254
119,20,blue,black,0.9091
121,20,black,black,1.7269
121,20,black,black,1.6412
121,5,black,black,1.1413
121,5,black,black,1.3782
121,5,black,black,1.5492
121,20,black,black,2.6932
121,5,black,black,1.0137
121,20,blue,black,0.8908
121,5,black,black,0.7424
121,20,black,black,2.725
122,5,black,black,2.151455
122,20,black,black,3.661485
122,5,black,black,1.78012
122,5,black,black,1.29575
122,20,black,black,1.28272
122,20,black,black,2.38117
122,5,black,black,2.17945
122,20,black,black,2.63278
122,20,blue,black,1.91492
122,5,black,black,1.047305
123,20,black,black,2.66172
123,5,black,black,0.96353
123,20,blue,black,1.08655
123,20,black,black,1.316575
123,20,black,black,1.806285
123,5,black,black,1.3665
123,5,black,black,1.288985
123,5,black,black,0.762465
123,5,black,black,1.05339
123,20,black,black,1.822385
124,20,black,black,1.09
124,5,black,black,1.06
124,5,black,black,0.953
124,20,blue,black,0.822
124,5,black,black,0.718
124,20,black,black,1.487
124,5,black,black,0.922
124,5,black,black,0.791
124,20,black,black,1.12
124,20,black,black,0.935
125,5,black,black,1.032
125,5,black,black,1.0571
125,20,black,black,2.7437
125,20,blue,black,0.9753
125,20,black,black,0.892
125,5,black,black,0.5918
125,20,black,black,0.689
125,5,black,black,0.9091
125,20,black,black,5.296
125,5,black,black,0.8408
126,20,blue,black,0.823085
126,20,black,black,2.370165
126,5,black,black,1.119045
126,20,black,black,1.187075
126,20,black,black,2.02138
126,5,black,black,0.98794
126,5,black,black,0.854155
126,5,black,black,0.825225
126,5,black,black,0.833365
126,20,black,black,1.17169
127,5,black,black,2.09344
127,5,black,black,0.92544
127,20,blue,black,1.90853
127,5,black,black,1.39401
127,20,black,black,1.027525
127,5,black,black,0.9272
127,20,black,black,3.895075
127,20,black,black,1.52726
127,20,black,black,2.798135
127,5,black,black,1.66068
128,5,black,black,1.4861
128,20,blue,black,2.394
128,20,black,black,2.1161
128,5,black,black,1.9158
129,5,black,black,2.4465
129,20,blue,black,0.9232
129,20,black,black,1.4263
129,20,black,black,1.1084
129,20,black,black,0.9086
129,5,black,black,1.292
129,5,black,black,1.1929
129,20,black,black,2.878
129,5,black,black,0.7418
