fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.15,left,1,,,,,,stim/blank.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6414,,,0,45,45,3,1,,,,,
1.1,right,1,,,,,,stim/blank.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8522,,,0,46,46,23,1,,,,,
1.25,right,1,,,,,,stim/upper.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6961,,,0,47,47,8,1,,,,,
1.05,right,1,,,,,,stim/blank.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6905,,,1,0,48,11,1,,,,,
0.8,left,1,,,,,,stim/both.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.603,,,1,1,49,45,1,,,,,
1.2,right,1,,,,,,stim/blank.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8363,,,1,2,50,27,1,,,,,
1.2,right,1,,,,,,stim/both.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8198,,,1,3,51,5,1,,,,,
0.55,left,1,,,,,,stim/both.png,stim/congLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6883,,,1,4,52,1,1,,,,,
1.4,left,1,,,,,,stim/lower.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6877,,,1,5,53,12,1,,,,,
0.4,right,1,,,,,,stim/blank.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8839,,,1,6,54,23,1,,,,,
0.75,left,1,,,,,,stim/blank.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6643,,,1,7,55,19,1,,,,,
0.65,left,1,,,,,,stim/upper.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8221,,,1,8,56,16,1,,,,,
1.3,left,1,,,,,,stim/blank.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8162,,,1,9,57,31,1,,,,,
1.1,right,1,,,,,,stim/centre.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,1.2714,,,1,10,58,22,1,,,,,
0.45,left,1,,,,,,stim/centre.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8495,,,1,11,59,46,1,,,,,
1,left,1,,,,,,stim/centre.png,stim/congRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6691,,,1,12,60,14,1,,,,,
1.45,right,1,,,,,,stim/both.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8349,,,1,13,61,25,1,,,,,
1.25,right,1,,,,,,stim/lower.png,stim/incongLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7055,,,1,14,62,20,1,,,,,
1.35,right,1,,,,,,stim/centre.png,stim/congLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7152,,,1,15,63,6,1,,,,,
0.8,left,1,,,,,,stim/blank.png,stim/neutralRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.607,,,1,16,64,47,1,,,,,
0.9,left,1,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6293,,,1,17,65,35,1,,,,,
1.3,right,1,,,,,,stim/upper.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6755,,,1,18,66,8,1,,,,,
0.4,right,1,,,,,,stim/both.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7449,,,1,19,67,9,1,,,,,
0.45,left,1,,,,,,stim/lower.png,stim/incongRight.png,left,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.9351,,,1,20,68,28,1,,,,,
0.7,right,1,,,,,,stim/centre.png,stim/congRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7281,,,1,21,69,10,1,,,,,
0.9,left,1,,,,,,stim/both.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8047,,,1,22,70,17,1,,,,,
0.8,right,1,,,,,,stim/upper.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.8977,,,1,23,71,24,1,,,,,
0.9,left,1,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.5211,,,1,24,72,32,1,,,,,
1.4,right,1,,,,,,stim/centre.png,stim/incongRight.png,right,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.994,,,1,25,73,26,1,,,,,
1.1,right,1,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.6512,,,1,26,74,36,1,,,,,
0.45,left,1,,,,,,stim/centre.png,stim/incongLeft.png,left,0,prueba,001,2022-02-11_14h38.15.234,ANT,2021.2.3,Win32,59.85515054,0.7636,,,1,27,75,18,1,,,,,
