fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1.15,left,1,,,,,,stim/centre.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5843,,,1,18,66,18,1,,,,,
1.55,right,1,,,,,,stim/lower.png,stim/congLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7011,,,1,19,67,4,1,,,,,
1.35,right,1,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6362,,,1,20,68,39,1,,,,,
1.15,right,1,,,,,,stim/lower.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7506,,,1,21,69,20,1,,,,,
0.6,right,1,,,,,,stim/centre.png,stim/neutralRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8004,,,1,22,70,42,1,,,,,
1.25,left,1,,,,,,stim/upper.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5489,,,1,23,71,0,1,,,,,
1.05,right,1,,,,,,stim/both.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7833,,,1,24,72,21,1,,,,,
0.6,left,1,,,,,,stim/both.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6491,,,1,25,73,17,1,,,,,
0.65,left,1,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.5675,,,1,26,74,34,1,,,,,
0.8,right,1,,,,,,stim/both.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6338,,,1,27,75,9,1,,,,,
0.9,right,1,,,,,,stim/blank.png,stim/incongLeft.png,right,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8343,,,1,28,76,23,1,,,,,
1,right,1,,,,,,stim/upper.png,stim/congRight.png,right,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.8509,,,1,29,77,8,1,,,,,
1.25,left,1,,,,,,stim/both.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6336,,,1,30,78,13,1,,,,,
1.4,left,1,,,,,,stim/blank.png,stim/incongRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7827,,,1,31,79,31,1,,,,,
1.25,left,1,,,,,,stim/lower.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6476,,,1,32,80,44,1,,,,,
0.4,left,1,,,,,,stim/both.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7007,,,1,33,81,1,1,,,,,
0.65,left,1,,,,,,stim/upper.png,stim/incongLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7678,,,1,34,82,16,1,,,,,
1.15,left,1,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.6315,,,1,35,83,35,1,,,,,
1.35,left,1,,,,,,stim/centre.png,stim/congLeft.png,left,0,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7682,,,1,36,84,2,1,,,,,
0.5,left,1,,,,,,stim/blank.png,stim/congRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7978,,,1,37,85,15,1,,,,,
1.1,left,1,,,,,,stim/both.png,stim/neutralRight.png,left,180,,001,2022-01-27_19h57.22.111,ANT,2021.2.3,Linux x86_64,59.99880002,0.7319,,,1,38,86,45,1,,,,,
