,group,condition,subject,phase,trial,target,hand_angle,error,movement_time,reaction_time,peak_velocity,rot_direction,rot
4118,0,1,2,Adaptation,247,0,34.254,4.254,733.998683,602.2956061000001,,CCW,-30
6274,0,0,2,Generalisation,357,0,20.81257313,20.81257313,,,,CCW,0
283,0,0,2,Base,50,-60,-5.18,-5.18,0.805312,0.432587,0.0673242,CCW,0
4119,0,1,2,Adaptation,248,0,27.045370000000002,-2.95463,527.4959222,480.26896789999995,,CCW,-30
6275,0,0,2,Generalisation,358,-150,6.733913541000001,6.733913541000001,,,,CCW,0
336,0,1,2,Base,51,30,-3.35,-3.35,0.731805,0.629478,0.13401,CCW,0
4120,0,1,2,Adaptation,249,0,26.722540000000002,-3.27746,701.0389432,632.7324734,,CCW,-30
6276,0,0,2,Generalisation,359,-120,3.97416422,3.97416422,,,,CCW,0
353,0,1,2,Base,52,90,-8.09,-8.09,1.0708600000000001,0.197722,0.0477202,CCW,0
4121,0,1,2,Adaptation,250,0,21.51357,-8.48643,825.1433595999999,576.9084302,,CCW,-30
6277,0,0,2,Generalisation,360,-60,6.944756997000001,6.944756997000001,,,,CCW,0
246,0,0,2,Base,53,120,-7.0,-7.0,0.9861790000000001,0.389049,0.160387,CCW,0
4122,0,1,2,Adaptation,251,0,35.25484,5.25484,930.2091917000001,595.715234,,CCW,-30
6278,0,0,2,Generalisation,361,150,6.934522881,6.934522881,,,,CCW,0
299,0,0,2,Base,54,-90,-20.0,-20.0,1.01663,0.351561,0.210646,CCW,0
4123,0,1,2,Adaptation,252,0,19.4694,-10.5306,726.5190307999999,438.3253521000001,,CCW,-30
6279,0,0,2,Generalisation,362,-120,1.910047541,1.910047541,,,,CCW,0
311,0,0,2,Base,55,-120,-0.45899999999999996,-0.45899999999999996,1.20087,0.504193,0.0989002,CCW,0
4124,0,1,2,Adaptation,253,0,25.79662,-4.20338,872.1749013,816.1127285,,CCW,-30
6280,0,0,2,Generalisation,363,90,4.6387683,4.6387683,,,,CCW,0
346,0,1,2,Base,56,60,-1.0,-1.0,0.603589,0.516123,0.09721519999999999,CCW,0
4125,0,1,2,Adaptation,254,0,32.67208,2.67208,1154.602465,520.1691488,,CCW,-30
6281,0,0,2,Generalisation,364,-120,2.574583371,2.574583371,,,,CCW,0
235,0,0,2,Base,57,90,-0.14400000000000002,-0.14400000000000002,0.9405459999999999,0.686193,0.185107,CCW,0
4126,0,1,2,Adaptation,255,0,25.13354,-4.86646,831.9408051,539.9379069,,CCW,-30
6282,0,0,2,Generalisation,365,90,5.51277564,5.51277564,,,,CCW,0
317,0,0,2,Base,58,-120,-8.21,-8.21,0.6921689999999999,0.306193,0.08146189999999999,CCW,0
4127,0,1,2,Adaptation,256,0,24.544620000000002,-5.45538,986.3428943,677.9211112,,CCW,-30
6283,0,0,2,Generalisation,366,0,19.33112755,19.33112755,,,,CCW,0
