fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.35,left,1,0.10800004,,,,,,,stim/centre.png,stim/congRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,14,1,95
0.75,right,1,0.174999952,,,,,,,stim/both.png,stim/neutralRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,41,1,95
1.2,right,1,0.075000048,,,,,,,stim/centre.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,10,1,95
1.05,left,0,0.10800004,,,,,,,stim/upper.png,stim/incongRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,24,1,95
1.15,right,0,0.092000008,,,,,,,stim/centre.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,34,1,95
1.1,left,1,0.040999889,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,35,1,95
0.55,right,0,0.025000095,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,32,1,95
0.6,right,0,0.108999968,,,,,,,stim/both.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,29,1,95
1.15,left,1,0.525000095,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,33,1,95
0.95,right,0,0.125,,,,,,,stim/centre.png,stim/congLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,2,1,95
0.4,left,0,0.108999968,,,,,,,stim/both.png,stim/incongRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,25,1,95
0.65,left,0,0.092000008,,,,,,,stim/blank.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,11,1,95
1,right,1,0.09100008,,,,,,,stim/centre.png,stim/congLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,6,1,95
0.45,left,0,0.474999905,,,,,,,stim/upper.png,stim/congRight.png,right,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,8,1,95
1.3,right,0,0.007999897,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,18,1,95
1.25,,0,,,,,,,,stim/centre.png,stim/incongLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,22,1,95
0.4,,0,,,,,,,,stim/both.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,45,1,95
0.95,right,1,1.290999889,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,36,1,95
1.55,,0,,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,44,1,95
1.35,,0,,,,,,,,stim/blank.png,stim/incongRight.png,left,180,lina,001,2022-01-20_22h45.57.624,ANT,3.1.3,60,,,3,0,3,0,1,2,2,0,96,31,1,95
