fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
0.55,right,1,0.9165,,,,,,stim/centre.png,stim/neutralRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,36,36,42,1,,,,,
0.9,left,1,0.7361,,,,,,stim/upper.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,37,37,16,1,,,,,
0.5,right,1,0.5195,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,38,38,36,1,,,,,
0.75,left,1,0.4372,,,,,,stim/both.png,stim/neutralLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,39,39,33,1,,,,,
0.8,right,1,0.4744,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,40,40,38,1,,,,,
0.8,right,1,0.4084,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,41,41,37,1,,,,,
0.4,left,0,0.6271,,,,,,stim/centre.png,stim/incongRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,42,42,26,1,,,,,
1.25,right,1,0.4003,,,,,,stim/both.png,stim/congLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,43,43,5,1,,,,,
0.55,left,1,0.7327,,,,,,stim/both.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,44,44,29,1,,,,,
0.9,right,0,0.4392,,,,,,stim/centre.png,stim/incongLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,45,45,18,1,,,,,
0.85,left,1,0.4168,,,,,,stim/centre.png,stim/neutralRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,46,46,46,1,,,,,
1,right,1,0.3918,,,,,,stim/upper.png,stim/congRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,0,47,47,8,1,,,,,
1.45,left,1,0.6046,,,,,,stim/lower.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,0,48,28,1,,,,,
0.6,right,1,0.6666,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,1,49,37,1,,,,,
1.2,left,1,0.6889,,,,,,stim/blank.png,stim/incongRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,2,50,31,1,,,,,
0.95,right,0,0.4358,,,,,,stim/both.png,stim/congLeft.png,left,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,3,51,1,1,,,,,
1.55,right,1,0.0321,,,,,,stim/blank.png,stim/neutralRight.png,right,0,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,4,52,43,1,,,,,
0.75,right,0,1.3434,,,,,,stim/blank.png,stim/congRight.png,left,180,Maria,001,2022-02-21_17h01.47.788,ANT,2021.2.3,MacIntel,60.0024001,,,1,5,53,15,1,,,,,
